007121,CLEANER - Ajax Scouring Powder 21 oz,24
007123,CLEANER - Dawn Liquid 32 oz,96
007129,CLEANER - Johnson Diversey Stride Citrus Neutral 1.32 Gallon #3063390,12
007131,CLEANER - Kaiblooey Restroom Cleaner,40
007132,CLEANER - Kaibosh Disinfectant Hospital Strength,16
007136,CLEANER - Spray Nine Multi-Purpose Cleaner & Disinfect 32 oz,93
007140,SOAP - BetcoClario Foaming Cleanser 78129 1000ml,40
007160,CLOTH - Micro Fiber 80/20 w/Polymide Content 16"x16,36
007191,FLOOR PADS - 3M Black 20 5/Box,5
007192,FLOOR PADS - Scotch-Brite Surface Prep 14"x28 #70-0714-9216-7,120
007414,GLOVES - Disposable Powder & Latex Free XX-Large. 100/box,6
007500,TISSUES - Facial 100/Box,1106
007510,TISSUE - Toilet 2 Ply Jumbo 9" Diameter 3.875x1000 12/Case,232
008010,CLIPS - Paper No. 1 100/box,12
008011,CLIPS - Paper Jumbo 100/box,16
008012,CLIPS - Binder Small 12/Box,6
008013,CLIPS - Binder Medium 12/Box,76
008014,CLIPS - Binder Large 1/ea,99
008020,BINDER - 1 Black 3 Ring,31
008021,BINDER - 1 Blue 3 Ring,21
008022,BINDER - 1 Red 3 Ring,4
008024,BINDER - 2 Blue 3 Ring,44
008025,BINDER - 2 Red 3 Ring,57
008026,BINDER - 3 Black 3 Ring,25
008028,BINDER - 3 Red 3 Ring,48
008057,FOLDERS - POCKET Assorted Colors w/Fasteners 25/box,4
008072,PENCILS - Colored Crayola 36 Pack,1
008082,PENS - Pilot EasyTouch Retractable Fine Red 12/Box,4
008120,MARKER - Sharpie Ultra Fine Black,24
008122,MARKER - Sharpie Ultra Fine Red,95
008122bx,MARKER - Sharpie Ultra Fine Red 12/box,5
008124,MARKER - Sharpie Fine Point Black,133
008124bx,MARKER - Sharpie Fine Point Black 12/box,4
008125,MARKER - Sharpie Fine Point Blue,14
008125bx,MARKER - Sharpie Fine Point Blue 12/box,4
008126,MARKER. SHARPIE - Fine Point Red,61
008127,MARKER - Sharpie Fine Point Green,59
008127bx,MARKER - Sharpie Fine Point Green (12/box),3
008132,MARKER - Sharpie King Size Black,2
008133,MARKER - Sharpie King Size Blue,11
008134,MARKER - Sharpie King Size Red,19
008140,HIGHLIGHTER - Green,39
008140bx,HIGHLIGHTER - Green (12/box),4
008141,HIGHLIGHTER - Orange,44
008141bx,HIGHLIGHTER - Orange (12/box),4
008142,HIGHLIGHTER - Yellow,48
008142bx,HIGHLIGHTER - Yellow 12/box,1
008143,HIGHLIGHTER - Pink,46
008143bx,HIGHLIGHTER - Pink (12/box),4
008181,INDEX CARDS - White Ruled 4" x 6 100/pkg,55
008202,POST-IT NOTES - 1 3/8" x 1 7/8 Canary 12/Pkg,91
008302,SCISSORS - 7,1
008325,ERASERS - Pink Pearl Small,63
008326,ERASERS - Pink Pearl Medium,4
008327,ERASERS - Ink & Carbon,9
008333,TAPE - Scotch Transparent 3/4" w/1" Core,23
008341,STAPLER - Bostich B515,7
008342,STAPLES - Standard Straight 5000/Box,4
008350,ERASER - Expo Dry Erase,25
008352,CLEANER - Expo Dry Erase,4
008353,MARKER - Expo Dry Erase Fine Tip Black,19
008354,MARKER - Expo Dry Eraser Fine Tip Blue,11
008355,MARKER - Expo Dry Erase Fine Point Red,21
008356,MARKER - Expo Dry Erase Fine Tip Green,11
008357,MARKER - Expo Dry Erase Chisel Tip Black,47
008359,MARKER - Expo Dry Erase Chisel Tip Red,18
10001,GLUE STICK 1/EA,8
10005,PAPERCLIPS - Butterfly 50/box,2
10021,KEY TAGS - 50/pkg,4
10023,PENCIL - No. 2 12/box,17
10048,FOLDERS - File Letter Size Manilla,399
10071,POST-IT NOTES - Yellow 3" x 5,165
10072,POST-IT NOTES - Yellow 3" x 3,192
10073,POST-IT NOTES - Multi-Color 3" x 3,72
10076,POST-IT NOTES - Yellow (Lined) 4" x 6,260
10077,INDEX TABS - 25 pack,5
10078,FOLDERS - Hanging File,200
10080,BINDER TABS - Pack of 8,8
10093,PENCILS - Colored 36 Pack,3
10094,FLASH DRIVE - USB 4 GB,4
10100,STOP THE BLEED KIT,24
10101,MEDICINE CABINETS,24
10102,EYE WASH STATION,10
10104,DETERGENT - Laundry Liquid 5 Gal/Bucket,9
19100,CEILING TILES,213
20001,CONSTRUCTION PAPER - 12X18 Lilac,13
20002,CONSTRUCTION PAPER - 12X18 Blue,30
20003,CONSTRUCTION PAPER - 12X18 Magenta,32
20004,CONSTRUCTION PAPER - 12X18 Red,6
20006,CONSTRUCTION PAPER - 12X18 Pink,5
20007,CONSTRUCTION PAPER - 12X18 Holiday Green,17
20008,CONSTRUCTION PAPER - 12X18 Bright Green,18
20009,CONSTRUCTION PAPER - 12X18 Sky Blue,54
20010,CONSTRUCTION PAPER - 12X18 Turquoise,17
